"country","year","population","BiocapPerCap","footprint","deficit","id"
"Trinidad and Tobago",1989,1213630.00490915,1.793026221,2.920500841,-1.12747462,"TTO"
"Tunisia",1989,8050939.94059656,0.796957248,1.517588617,-0.720631369,"TUN"
"Turkey",1989,53066601.5770617,1.885551868,2.306080468,-0.4205286,"TUR"
"Uganda",1989,16802300.7833631,1.041085592,1.751350981,-0.710265389,"UGA"
"United Arab Emirates",1989,1712119.99551465,2.818331631,14.09459416,-11.276262529,"ARE"
"United Kingdom",1989,56953898.4386444,1.324270268,5.923331943,-4.599061675,"GBR"
"United States of America",1989,250340999.986488,4.067845809,9.91554878,-5.847702971,"USA"
"Uruguay",1989,3088989.99116855,9.63366311,4.593656833,5.040006277,"URY"
"USSR",1989,286413000.024896,4.278465345,6.084096287,-1.805630942,"SUUH"
"Venezuela, Bolivarian Republic of",1989,19388300.7787753,4.428118614,3.061027013,1.367091601,"VEN"
"Viet Nam",1989,66757398.39844,0.731546392,0.733414305,-0.001867913,"VNM"
"World",1989,5218978000.45889,2.087690361,2.681900441,-0.59421008,"WORLD"
"Yemen",1989,11426900.3920759,0.931232496,0.801759355,0.129473141,"YEM"
"Yugoslav SFR",1989,23405800.7817884,1.870087231,3.476345523,-1.606258292,"YUG"
"Zambia",1989,7921029.7850816,3.570160468,1.043674898,2.52648557,"ZMB"
"Zimbabwe",1989,10184999.9996688,1.018917075,1.539631246,-0.520714171,"ZWE"
